City, Type, Population
Ironwood, city, 5387
Armada Township, township, 5379
Reynolds Township, township, 5310
Springfield, city, 5260
Elba Township Lapeer County, township, 5250
Eaton Rapids, city, 5214
Ira Township, township, 5178
Davison, city, 5173
Larkin Charter Township, township, 5136
Kingsford, city, 5133
Berrien Township, township, 5084
Kochville Township, township, 5078
Lapeer Township, township, 5056
Coloma Charter Township, township, 5020
Allegan, city, 4998
Almena Township, township, 4992
Williamstown Township, township, 4978
Gladstone, city, 4973
Ida Township, township, 4964
Chelsea, city, 4944
Frankenmuth, city, 4944
Leighton Township, township, 4934
La Salle Township, township, 4894
Wells Township Delta County, township, 4885
Cheboygan, city, 4867
Kawkawlin Township, township, 4848
Watertown Charter Township, township, 4836
Owosso Charter Township, township, 4821
Jerome Township, township, 4796
Williams Charter Township, township, 4772
Dryden Township, township, 4768
Royalton Township, township, 4766
Nelson Township, township, 4764
Utica, city, 4757
Attica Township, township, 4755
Olive Township Ottawa County, township, 4735
Tyrone Township Kent County, township, 4731
Kalkaska Township, township, 4722
Vandercook Lake, unincorporated community and CDP, 4721
Paradise Township, township, 4713
Henrietta Township, township, 4705
Forest Township Genesee County, township, 4702
Rives Township, township, 4683
Hayes Township Clare County, township, 4675
Michigan Center, unincorporated community and CDP, 4672
Ross Township, township, 4664
Chesaning Township, township, 4659
Gibraltar, city, 4656
Chippewa Township Isabella County, township, 4654
New Haven, village, 4642
Hancock, city, 4634
Somerset Township, township, 4623
Vernon Township Shiawassee County, township, 4614
Whiteford Township, township, 4602
Manchester Township, township, 4569
Marathon Township, township, 4568
Negaunee, city, 4568
Hadley Township, township, 4528
Taymouth Township, township, 4520
Erie Township, township, 4517
DeWitt, city, 4507
Elmwood Charter Township, township, 4503
Caledonia Charter Township Shiawassee County, township, 4475
Buchanan, city, 4456
Salem Township Allegan County, township, 4446
Roscommon Township, township, 4411
Allegan Township, township, 4406
South Haven, city, 4403
Mancelona Township, township, 4400
Acme Township, township, 4375
Ann Arbor Charter Township, township, 4361
Millington Township, township, 4354
Perry Township, township, 4327
Lee Township Midland County, township, 4315
Wolverine Lake, village, 4312
Morton Township, township, 4311
Mills Township Ogemaw County, township, 4291
Quincy Township Branch County, township, 4285
Coopersville, city, 4275
Metamora Township, township, 4249
Brady Township Kalamazoo County, township, 4248
Marine City, city, 4248
Port Sheldon Township, township, 4240
Caro, city, 4229
Constantine Township, township, 4217
Big Rapids Charter Township, township, 4208
Mussey Township, township, 4206
Vergennes Township, township, 4189
Deerfield Township Livingston County, township, 4170
Richland Township Saginaw County, township, 4144
Sparta, village, 4140
Eaton Rapids Township, township, 4113
Algonac, city, 4110
Casco Township St. Clair County, township, 4105
Wolf Lake, unincorporated community and CDP, 4104
Vassar Township, township, 4093
Benton Heights, unincorporated community and CDP, 4084
Manistee Township, township, 4084
Fremont, city, 4081
Wayland, city, 4079
Lathrup Village, city, 4075
Eaton Township, township, 4073
Columbus Township St. Clair County, township, 4070
Shelby Township, township, 4069
Dexter, village, 4067
Yankee Springs Township, township, 4065
Lee Township Allegan County, township, 4015
Homer Township Midland County, township, 4009
Burtchville Township, township, 4008
Belleville, city, 3991
Linden, city, 3991
Rutland Charter Township, township, 3987
Sandstone Township, township, 3984
South Haven Charter Township, township, 3983
Blissfield Township, township, 3973
Exeter Township, township, 3968
Crockery Township, township, 3960
Spencer Township, township, 3960
Eureka Township, township, 3959
Dundee, village, 3957
Otsego, city, 3956
Marquette Charter Township Marquette County, township, 3905
Bloomer Township, township, 3904
Stockbridge Township, township, 3896
Worth Township, township, 3894
Portland, city, 3883
Milton Township Cass County, township, 3878
Bloomfield Hills, city, 3869
Oneida Charter Township, township, 3865
Nottawa Township St. Joseph County, township, 3858
Williamston, city, 3854
L'Anse Township, township, 3843
Roosevelt Park, city, 3831
Baraga Township, township, 3815
Woodhull Township, township, 3810
Plainwell, city, 3804
Iosco Township, township, 3801
Plainfield Township, township, 3799
Porter Township Cass County, township, 3798
Ovid Township Clinton County, township, 3795
East China Township, township, 3788
Lockport Township, township, 3787
North Muskegon, city, 3786
Lowell, city, 3783
Ionia Township, township, 3779
Odessa Township, township, 3778
Alamo Township, township, 3762
White Pigeon Township, township, 3753
Ray Township, township, 3739
Boyne City, city, 3735
Richfield Township Roscommon County, township, 3731
Decatur Township, township, 3726
Leroy Township Calhoun County, township, 3712
Hanover Township Jackson County, township, 3695
Hagar Township, township, 3671
Richmond Township Macomb County, township, 3665
Lexington Township, township, 3658
Almira Township, township, 3645
Gaylord, city, 3645
North Branch Township, township, 3645
Grattan Township, township, 3621
Surrey Township, township, 3606
Clinton Township Lenawee County, township, 3604
Imlay City, city, 3597
Romeo, village, 3596
Geneva Township Van Buren County, township, 3573
Frankenlust Township, township, 3562
Cottrellville Township, township, 3559
China Township, township, 3551
Conway Township, township, 3546
Vevay Township, township, 3537
Paw Paw, village, 3534
Leroy Township Ingham County, township, 3530
Elkland Township, township, 3528
Aurelius Township, township, 3525
Buchanan Township, township, 3523
Ishpeming Township, township, 3513
Paw Paw Lake, unincorporated community and CDP, 3511
Brooks Township, township, 3510
Cedar Springs, city, 3509
Woodstock Township, township, 3505
West Monroe, unincorporated community and CDP, 3503
LaGrange Township, township, 3500
Corunna, city, 3497
Menominee Township, township, 3488
Escanaba Township, township, 3482
Essexville, city, 3478
Castleton Township, township, 3471
Lyons Township, township, 3465
Victor Township, township, 3460
Burns Township, township, 3457
Durand, city, 3446
Oxford, village, 3436
Houghton Lake, unincorporated community and CDP, 3427
Level Park-Oak Park, unincorporated community and CDP, 3409
Hamlin Township Mason County, township, 3408
Portland Township, township, 3404
Prairieville Township, township, 3404
Skidway Lake, unincorporated community and CDP, 3392
Barry Township, township, 3378
Unadilla Township, township, 3366
Riley Township St. Clair County, township, 3353
Montcalm Township, township, 3350
Hamlin Township Eaton County, township, 3343
Blissfield, village, 3340
Saint Charles Township, township, 3330
Colon Township, township, 3329
Fayette Township, township, 3326
Middleville, village, 3319
Cohoctah Township, township, 3317
Heath Township, township, 3317
Fremont Township Tuscola County, township, 3312
Orangeville Township, township, 3311
Summerfield Township Monroe County, township, 3308
Lima Township, township, 3307
Portsmouth Charter Township, township, 3306
Grant Township Newaygo County, township, 3294
Green Charter Township, township, 3292
Rockwood, city, 3289
Berlin Township St. Clair County, township, 3285
Hartford Township, township, 3274
Rollin Township, township, 3270
Grant Township Clare County, township, 3259
Lawrence Township, township, 3259
Irving Township, township, 3250
Fabius Township, township, 3248
Wales Township, township, 3248
Hope Township Barry County, township, 3239
Croton Township, township, 3228
Portage Charter Township, township, 3221
Silver Creek Township, township, 3218
Pierson Township, township, 3216
Benton Township Cheboygan County, township, 3206
Sherman Township St. Joseph County, township, 3205
Fraser Township, township, 3192
Deerfield Township Isabella County, township, 3188
Cedar Creek Township Muskegon County, township, 3186
Franklin Township Lenawee County, township, 3174
Haring Charter Township, township, 3173
Bennington Township, township, 3168
Onondaga Township, township, 3158
Bellevue Township, township, 3150
Franklin, village, 3150
Wright Township Ottawa County, township, 3147
Soo Township, township, 3141
Bad Axe, city, 3129
Imlay Township, township, 3128
Clare, city, 3118
Marshall Township, township, 3115
Arcadia Township Lapeer County, township, 3113
Bloomingdale Township, township, 3103
Watervliet Township, township, 3102
Almer Township, township, 3101
Chikaming Township, township, 3100
Manistique, city, 3097
Negaunee Township, township, 3088
Wayland Township, township, 3088
Mount Morris, city, 3086
Bowne Township, township, 3084
Easton Township, township, 3082
Coe Township, township, 3079
Arbela Township, township, 3070
Denmark Township, township, 3068
Jefferson Township Hillsdale County, township, 3063
London Township, township, 3048
Tuscarora Township, township, 3038
Iron River, city, 3029
Manlius Township, township, 3017
Beechwood, unincorporated community and CDP, 3015
Homer Township Calhoun County, township, 3015
Grosse Pointe Shores Village of, city, 3008
Johnstown Township, township, 3008
Gerrish Township, township, 2993
Sherman Township Isabella County, township, 2991
Danby Township, township, 2988
Munising Township, township, 2983
Suttons Bay Township, township, 2982
Littlefield Township, township, 2978
Grant Township Oceana County, township, 2976
Lake Orion, village, 2973
Lake Charter Township, township, 2972
Keego Harbor, city, 2970
Norvell Township, township, 2963
Liberty Township Jackson County, township, 2961
Pine Grove Township, township, 2949
Hastings Charter Township, township, 2948
Mason Township Cass County, township, 2945
Saugatuck Township, township, 2944
Gladwin, city, 2933
Overisel Township, township, 2911
Ithaca, city, 2910
Vicksburg, village, 2906
Ravenna Township, township, 2905
Alaiedon Township, township, 2894
Ferrysburg, city, 2892
Covert Township, township, 2888
Fowlerville, village, 2886
Beaver Township Bay County, township, 2885
Spring Arbor, unincorporated community and CDP, 2881
Union Township Branch County, township, 2868
Bingham Township Clinton County, township, 2859
Evergreen Township Montcalm County, township, 2858
Waterloo Township, township, 2856
Carmel Township, township, 2855
Bainbridge Township, township, 2850
Otsego Lake Township, township, 2847
Norway, city, 2845
Shiawassee Township, township, 2840
Sylvan Township Washtenaw County, township, 2833
Pearl Beach, unincorporated community and CDP, 2829
Big Creek Township, township, 2827
Rogers City, city, 2827
Casco Township Allegan County, township, 2823
East Tawas, city, 2808
Casnovia Township, township, 2805
Baroda Township, township, 2801
Lake Township Missaukee County, township, 2800
Benton Township Eaton County, township, 2796
Fife Lake Township, township, 2791
Wheeler Township, township, 2786
Richland Township Montcalm County, township, 2778
Ashland Township, township, 2773
Canadian Lakes, unincorporated community and CDP, 2756
Ingersoll Township, township, 2751
Orleans Township, township, 2743
Cato Township, township, 2735
Benzonia Township, township, 2727
Parma Township, township, 2726
Sebewaing Township, township, 2724
Concord Township, township, 2723
Lyndon Township, township, 2720
Mendon Township, township, 2719
Whitehall, city, 2706
Resort Township, township, 2697
Vassar, city, 2697
McMillan Township Luce County, township, 2692
Crystal Township Montcalm County, township, 2689
Hartford, city, 2688
Fillmore Township, township, 2681
Sandusky, city, 2679
Almont, village, 2674
Pentland Township, township, 2674
Eagle Township, township, 2671
Tompkins Township, township, 2671
Maple Grove Township Saginaw County, township, 2668
Saint Helen, unincorporated community and CDP, 2668
West Ishpeming, unincorporated community and CDP, 2662
Bertrand Township, township, 2657
Emmett Township, township, 2654
Wayne Township, township, 2654
Clio, city, 2646
Ensley Township, township, 2635
Elk Rapids Township, township, 2631
Martin Township, township, 2629
K. I. Sawyer, unincorporated community and CDP, 2624
Hayes Township Otsego County, township, 2619
Potterville, city, 2617
Mecosta Township, township, 2615
Burr Oak Township, township, 2611
Hopkins Township, township, 2601
Park Township St. Joseph County, township, 2600
Whitewater Township, township, 2597
West Branch Township Ogemaw County, township, 2593
Columbia Township Van Buren County, township, 2588
Ontonagon Township, township, 2579
Venice Township, township, 2578
Sidney Township, township, 2574
Three Oaks Township, township, 2574
Adams Township Houghton County, township, 2573
Big Prairie Township, township, 2573
Caseville Township, township, 2570
Tobacco Township, township, 2566
Athens Township, township, 2554
Waverly Township Van Buren County, township, 2554
Edenville Township, township, 2551
Newton Township Calhoun County, township, 2551
Home Township Montcalm County, township, 2542
Jefferson Township Cass County, township, 2541
Marcellus Township, township, 2539
Garfield Township Newaygo County, township, 2537
Amber Township, township, 2535
Cambria Township, township, 2533
Ganges Township, township, 2530
Albert Township, township, 2526
Pleasant Ridge, city, 2526
Argentine, unincorporated community and CDP, 2525
Livingston Township, township, 2525
Fulton Township, township, 2521
Holton Township, township, 2515
Charlevoix, city, 2513
Sheridan Charter Township, township, 2510
Trowbridge Township, township, 2502
Bingham Township Leelanau County, township, 2497
Adams Township Hillsdale County, township, 2493
Olive Township Clinton County, township, 2476
Lincoln Township Midland County, township, 2474
Kenockee Township, township, 2470
Clam Lake Township, township, 2467
Porter Township Van Buren County, township, 2466
Climax Township, township, 2463
Sage Township, township, 2457
Swan Creek Township, township, 2456
Ingham Township, township, 2452
Saint Ignace, city, 2452
Croswell, city, 2447
Clearwater Township, township, 2444
Sullivan Township, township, 2441
Pinconning Township, township, 2431
Sanilac Township, township, 2431
Cass City, village, 2428
Pinckney, village, 2427
Reed City, city, 2425
Polkton Charter Township, township, 2423
Royal Oak Charter Township, township, 2419
Billings Township, township, 2416
Newfield Township, township, 2401
Blue Lake Township Muskegon County, township, 2399
Chesaning, village, 2394
Carlton Township, township, 2391
Leslie Township, township, 2389
Campbell Township, township, 2388
New Buffalo Township, township, 2386
Little Traverse Township, township, 2380
Cherry Grove Township, township, 2377
Orchard Lake Village, city, 2375
Dallas Township, township, 2369
Pere Marquette Charter Township, township, 2366
Westphalia Township, township, 2365
Duplain Township, township, 2363
Montague, city, 2361
Markey Township, township, 2360
Edgemont Park, unincorporated community and CDP, 2358
Homestead Township, township, 2357
Monterey Township, township, 2356
Munising, city, 2355
East Jordan, city, 2351
Bronson, city, 2349
Carleton, village, 2345
Clinton, village, 2336
Ironwood Charter Township, township, 2333
Ovid Township Branch County, township, 2326
Filer Charter Township, township, 2325
Spring Lake, village, 2323
Pipestone Township, township, 2312
Hudson, city, 2307
Aetna Township Mecosta County, township, 2299
Bridgman, city, 2291
Midland Charter Township, township, 2287
Sands Township, township, 2285
Nottawa Township Isabella County, township, 2282
Otisco Township, township, 2282
Pine River Township, township, 2279
Walton Township, township, 2266
Inverness Township, township, 2261
Sturgis Township, township, 2261
Jonesville, village, 2258
Isabella Township, township, 2253
Prairie Ronde Township, township, 2250
Winfield Township, township, 2235
Morenci, city, 2220
Brady Township Saginaw County, township, 2218
Marengo Township, township, 2213
Belvidere Township, township, 2209
Milton Township Antrim County, township, 2204
Watertown Township Tuscola County, township, 2202
Cheshire Township, township, 2199
Greenbush Township Clinton County, township, 2199
Central Lake Township, township, 2198
Perry, city, 2188
Douglass Township, township, 2180
Trowbridge Park, unincorporated community and CDP, 2176
Hillman Township, township, 2175
Seville Township, township, 2173
Keeler Township, township, 2169
Antrim Township, township, 2161
Albee Township, township, 2160
Springport Township, township, 2159
Spaulding Township, township, 2153
Deep River Township, township, 2149
Bangor Township, township, 2147
Bridgeton Township, township, 2141
Springvale Township, township, 2141
West Branch, city, 2139
Bruce Township Chippewa County, township, 2128
Hart, city, 2126
Bunker Hill Township, township, 2119
Warren Township, township, 2119
Berlin Township Ionia County, township, 2116
Sanborn Township, township, 2116
Lincoln Township Isabella County, township, 2115
Harrison, city, 2114
Sherman Township Newaygo County, township, 2109
Brownlee Park, unincorporated community and CDP, 2108
Fremont Township Saginaw County, township, 2096
Sherwood Township, township, 2094
Selma Township, township, 2093
Manchester, village, 2091
Auburn, city, 2087
Detroit Beach, unincorporated community and CDP, 2087
Clyde Township Allegan County, township, 2084
Palmyra Township, township, 2084
Bath, unincorporated community and CDP, 2083
Tuscola Township, township, 2082
Constantine, village, 2076
Pulaski Township, township, 2075
Arlington Township, township, 2073
Hazelton Township, township, 2071
Inland Township, township, 2070
Shelby, village, 2065
Watson Township, township, 2063
Clark Township, township, 2056
Ford River Township, township, 2054
Saint Charles, village, 2054
Baraga, village, 2053
Vermontville Township, township, 2053
Woodland Beach, unincorporated community and CDP, 2049
Au Sable Charter Township, township, 2047
Camden Township, township, 2047
Woodland Township, township, 2047
Leland Township, township, 2043
Calvin Township, township, 2037
Hillsdale Township, township, 2033
Pokagon Township, township, 2029
Wilson Township Alpena County, township, 2029
Leelanau Township, township, 2027
Riley Township Clinton County, township, 2024
James Township, township, 2023
Brockway Township, township, 2022
Kalkaska, village, 2020
Manitou Beach-Devils Lake, unincorporated community and CDP, 2019
Lake Odessa, village, 2018
Valley Township, township, 2018
Chester Township Ottawa County, township, 2017
Brant Township, township, 2012
L'Anse, village, 2011
Galesburg, city, 2009
South Branch Township Crawford County, township, 2007
Butman Township, township, 1999
Mattawan, village, 1997
Sunfield Township, township, 1997
Assyria Township, township, 1986
Clarence Township, township, 1985
Laurium, village, 1977
Newaygo, city, 1976
Charleston Township, township, 1975
Algansee Township, township, 1974
Tecumseh Township, township, 1972
Comins Township, township, 1970
Harris Township, township, 1968
Beaverton Township, township, 1964
Grout Township, township, 1964
Wilson Township Charlevoix County, township, 1964
Blumfield Township, township, 1960
Frankenmuth Township, township, 1959
Indian River, unincorporated community and CDP, 1959
Yale, city, 1955
Ely Township, township, 1952
Hersey Township, township, 1950
Dayton Township Newaygo County, township, 1949
Maple Valley Township Montcalm County, township, 1944
Burlington Township Calhoun County, township, 1941
Mills Township Midland County, township, 1939
Sheridan Township Calhoun County, township, 1936
Weesaw Township, township, 1936
Colfax Township Mecosta County, township, 1933
Higgins Township, township, 1932
Sodus Township, township, 1932
Sumner Township, township, 1930
Denver Township Newaygo County, township, 1928
Hayes Township Charlevoix County, township, 1919
Gwinn, unincorporated community and CDP, 1917
Essex Township, township, 1910
Winsor Township, township, 1907
Bessemer, city, 1905
Evart, city, 1903
Lawton, village, 1900
Standish Township, township, 1900
Saline Township, township, 1896
Grant Township St. Clair County, township, 1891
Capac, village, 1890
Osceola Township Houghton County, township, 1888
Bangor, city, 1885
Colfax Township Huron County, township, 1884
Grayling, city, 1884
Scipio Township, township, 1884
New Buffalo, city, 1883
Garfield Township Clare County, township, 1882
Torch Lake Township Houghton County, township, 1880
Marlette, city, 1875
South Arm Township, township, 1873
Ronald Township, township, 1869
Burnside Township, township, 1864
Everett Township, township, 1862
Baltimore Township, township, 1861
Briley Township, township, 1860
Goodrich, village, 1860
Hart Township, township, 1853
Leslie, city, 1851
Wakefield, city, 1851
Broomfield Township, township, 1849
Dayton Township Tuscola County, township, 1848
Roxand Township, township, 1848
